city name,cloudiness,country,date,max_temp,humidity,lat,lng,wind_speed
Geraldton,0,AU,1644254665,64.81,63,-28.7667,114.6,13.8
Graham,100,US,1644254457,48.36,91,47.0529,-122.2943,7.0
Bredasdorp,78,ZA,1644254545,74.28,69,-34.5322,20.0403,8.39
Mar del Plata,75,AR,1644254742,68.02,71,-38.0023,-57.5575,18.41
George Town,20,MY,1644254743,78.89,93,5.4112,100.3354,0.0
Bograd,27,RU,1644254743,-11.45,96,54.2344,90.8328,4.41
Saint Paul Harbor,100,US,1644254743,26.11,68,57.79,-152.4072,4.61
Mahon,0,ES,1644254744,54.16,71,39.8885,4.2658,5.75
Lebu,3,CL,1644254744,66.31,71,-37.6167,-73.65,13.65
Yuzhnyy,0,RU,1644254744,16.18,57,53.2542,83.6936,4.47
Vao,64,NC,1644254745,80.15,86,-22.6667,167.4833,18.66
Souillac,75,MU,1644254745,79.18,83,-20.5167,57.5167,5.75
Qaanaaq,100,GL,1644254606,-0.51,69,77.484,-69.3632,7.29
Moose Factory,0,CA,1644254691,-0.4,78,51.2585,-80.6094,5.75
Bethel,100,US,1644254637,36.73,87,41.3712,-73.414,4.61
Kez,100,RU,1644254746,13.55,98,57.8979,53.7152,3.8
Lensk,100,RU,1644254746,-3.71,100,60.7253,114.9278,1.97
Lüderitz,6,NA,1644254747,75.33,65,-26.6481,15.1594,3.85
San Patricio,63,US,1644254617,63.01,55,28.017,-97.5169,14.0
Avilés,75,ES,1644254747,57.72,80,43.5547,-5.9248,3.44
Yārāda,20,IN,1644254747,73.72,83,17.65,83.2667,2.3
Faya,2,SA,1644254544,57.31,70,18.3851,42.4509,3.89
Hong Kong,94,HK,1644254451,65.25,83,22.2855,114.1577,8.01
Barrow,0,US,1644254523,-27.38,62,71.2906,-156.7887,8.05
Kuytun,100,RU,1644254748,13.98,94,54.3419,101.5036,6.02
Mehamn,0,NO,1644254749,26.78,73,71.0357,27.8492,18.41
Panji,100,ID,1644254749,76.89,89,-7.7253,114.0995,3.89
Sumter,55,US,1644254749,55.42,56,28.7086,-82.0831,5.06
Sung Noen,94,TH,1644254750,85.66,50,14.8992,101.8207,3.04
Fairbanks,100,US,1644254750,-2.24,77,64.8378,-147.7164,4.61
